absolute_magnitude_h,close_approach_date,miss_distance_astronomical,miss_distance_lunar,miss_distance_kilometers,miss_distance_miles,relative_velocity_kph,relative_velocity_kps,relative_velocity_mph,estimated_max_diameter_kilometers,estimated_min_diameter_kilometers,estimated_max_diameter_miles,estimated_min_diameter_miles,id,is_potentially_hazardous,is_sentry_object,name
22.2,2018-01-08,0.2147852095,83.5514464955,32131409.848703765,19965532.265951357,40302.3556341173,11.1950987873,25042.3164772103,0.2157943048,0.096506147,0.134088323,0.059966121,3797745,False,False,(2018 AM13)
20.2,2018-01-08,0.2557515038,99.4873349782,38259880.217776906,23773587.1714410628,72099.3750638746,20.0276041844,44799.7478001058,0.5420507863,0.2424124811,0.3368146392,0.1506280858,3796294,False,False,(2018 AG)
34.282,2018-01-08,0.000112909,0.043921601,16890.94590383,10495.547099654,23683.8440148393,6.5788455597,14716.2196324428,0.0008272561,0.0003699602,0.000514033,0.0002298825,3799865,False,False,(2018 DM4)
19.3,2018-01-08,0.2635177915,102.5084208935,39421700.315504105,24495508.704222449,64328.6090795314,17.8690580776,39971.2960138899,0.8204270649,0.3669061375,0.5097895857,0.2279848336,3799638,False,False,(2018 CX13)
23.2,2018-01-08,0.0290465742,11.2991173638,4345305.631116954,2700047.7162998052,38781.9245174738,10.7727568104,24097.5797092048,0.1361570015,0.0608912622,0.0846040122,0.0378360645,3792431,False,False,(2017 XT61)
25.1,2018-01-08,0.2448441246,95.2443644694,36628159.522174602,22759682.9465574276,37109.8312274758,10.3082864521,23058.6059646501,0.0567596853,0.0253837029,0.0352688224,0.0157726969,3720000,False,False,(2015 KT120)
25.1,2018-01-08,0.1962620904,76.3459531656,29360390.685587448,18243700.8003768624,20088.4831202941,5.5801342001,12482.2021921627,0.0567596853,0.0253837029,0.0352688224,0.0157726969,3766591,False,False,(2017 BU)
27.558,2018-01-09,0.0114769609,4.4645377901,1716928.904713283,1066850.1508899854,24284.6170376421,6.7457269549,15089.5166254171,0.0182995318,0.0081837994,0.0113707984,0.0050851756,3799653,False,False,(2018 AT18)
23.3,2018-01-09,0.1283540036,49.9297074004,19201485.544532332,11931249.8579649016,26566.6548217026,7.3796263394,16507.4861585185,0.130028927,0.058150704,0.0807962044,0.0361331611,3797488,False,False,(2018 AX3)
24.1,2018-01-09,0.1839074825,71.5400106925,27512167.659062275,17095268.265218395,44258.0119346023,12.2938922041,27500.2074712533,0.0899580388,0.040230458,0.0558973165,0.0249980399,3797496,False,False,(2018 AW3)
19.2,2018-01-09,0.3111862073,121.0514346397,46552793.785458451,28926564.7156545838,84852.5008093391,23.5701391137,52724.0441834474,0.8590926012,0.3841978911,0.5338152287,0.2387294278,3337597,True,False,(2006 OC5)
24.0,2018-01-09,0.3651589102,142.0468160678,54626995.177441274,33943640.8157226212,63204.9497234057,17.5569304787,39273.0977878573,0.0941976306,0.0421264611,0.0585316759,0.0261761612,3479012,False,False,(2009 WA105)
21.5,2018-01-09,0.3756708553,146.1359627117,56199559.773958211,34920787.1451208718,45272.46943742,12.5756859548,28130.5519123791,0.2978790628,0.1332155667,0.1850934111,0.0827762899,3797703,False,False,(2018 AF13)
25.4,2018-01-09,0.0520234147,20.2371083183,7782592.029246689,4835878.4443107482,63053.0228771514,17.514728577,39178.6963538611,0.0494356193,0.022108281,0.0307178602,0.0137374447,3797490,False,False,(2018 AC4)
25.5,2018-01-09,0.0378472913,14.7225963157,5661874.163749531,3518125.4677082878,26351.721500323,7.319922639,16373.9349511313,0.0472106499,0.0211132445,0.0293353287,0.0131191578,3797458,False,False,(2018 AR2)
19.2,2018-01-09,0.311185845,121.051293705,46552739.58615015,28926531.03776607,84852.4661915227,23.5701294976,52724.0226732825,0.8590926012,0.3841978911,0.5338152287,0.2387294278,2509191,True,False,509191 (2006 OC5)
27.5,2018-01-10,0.0048001376,1.8672535264,718090.360666912,446200.6595189056,34427.6272907489,9.563229803,21391.988746299,0.0187948982,0.008405334,0.0116786047,0.0052228308,3799707,False,False,(2018 AU18)
23.7,2018-01-10,0.1892719814,73.6268007646,28314685.268119618,17593929.5842540084,41117.0335498753,11.4213982083,25548.5256521434,0.1081533507,0.0483676488,0.0672033557,0.0300542543,3797450,False,False,(2018 AK2)
25.9,2018-01-10,0.0090669661,3.5270498129,1356398.815922207,842827.1418001766,38188.1965847562,10.6078323847,23728.6602612337,0.0392681082,0.0175612318,0.0244000636,0.0109120402,3797497,False,False,(2018 AA4)
25.6,2018-01-10,0.2719041941,105.7707315049,40676288.281426567,25275073.5173459446,87694.1418091378,24.3594838359,54489.7293924612,0.0450858206,0.0201629919,0.0280150214,0.0125286985,3673920,False,False,(2014 ME6)
19.1,2018-01-10,0.3562854628,138.5950450292,53299546.346844236,33118802.3606570168,91258.8877284109,25.3496910357,56704.7238776896,0.8995803882,0.4023045798,0.5589731654,0.2499803991,3738934,False,False,(2015 YR1)
22.0,2018-01-10,0.1659942184,64.5717509576,24832381.504954808,15430126.3627120304,27672.6102047701,7.686836168,17194.6838241806,0.2366137501,0.1058168859,0.1470249225,0.0657515442,3791242,False,False,(2017 XB1)
19.6,2018-01-10,0.3210997272,124.9077938808,48035835.246701064,29848083.9482561232,45699.1435322381,12.6942065367,28395.6706020176,0.7145621017,0.3195618867,0.4440081677,0.1985664891,3788091,False,False,(2017 UR7)
25.9,2018-01-10,0.0182110582,7.0841016398,2724335.517166034,1692823.5930939092,23606.1721553566,6.5572700432,14667.9573595326,0.0392681082,0.0175612318,0.0244000636,0.0109120402,3797669,False,False,(2018 AW11)
24.5,2018-01-10,0.1677012741,65.2357956249,25087753.401646167,15588807.1011924246,11170.6512099707,3.1029586694,6941.0082476621,0.0748238376,0.0334622374,0.0464933628,0.0207924639,3797704,False,False,(2018 BS)
24.719,2018-01-10,0.0423479895,16.4733679155,6335169.027982365,3936491.496452037,64248.380559671,17.8467723777,39921.4451316467,0.0676456663,0.0302520616,0.0420330553,0.0187977538,3797762,False,False,(2018 AJ13)
24.7,2018-01-10,0.0482488673,18.7688093797,7217927.777992651,4485012.3484585438,36071.2765392462,10.0197990387,22413.2884696222,0.0682401509,0.0305179233,0.0424024508,0.0189629525,3797454,False,False,(2018 AP2)
21.2,2018-01-10,0.0527364335,20.5144726315,7889258.122996645,4902157.681557901,43411.8950450993,12.0588597347,26974.4633406618,0.3420109247,0.1529519353,0.2125156703,0.095039897,3797698,True,False,(2018 AM12)
20.2,2018-01-10,0.1387522646,53.9746309294,20757043.241836402,12897828.5902182676,49903.5523049942,13.8620978625,31008.1267086227,0.5420507863,0.2424124811,0.3368146392,0.1506280858,2085990,True,False,85990 (1999 JV6)
15.8,2018-01-10,0.2810306924,109.3209393436,42041592.987665188,26123434.5227800744,95193.0100312193,26.4425027864,59149.2344830096,4.1118757104,1.8388867207,2.5550003221,1.1426308805,2415029,True,False,415029 (2011 UL21)
25.7,2018-01-10,0.051256175,19.938652075,7667814.60434725,4764559.05960205,30727.0599778131,8.5352944383,19092.6001289917,0.0430566244,0.0192555078,0.0267541378,0.0119648141,3177202,False,False,(2004 FH)
18.7,2018-01-11,0.4130101413,160.6609449657,61785437.426879031,38391690.5707153878,42121.3731140344,11.7003814206,26172.5831996621,1.0815335068,0.4836764882,0.6720335566,0.3005425432,2351331,False,False,351331 (2004 XH29)
23.9,2018-01-11,0.0265656544,10.3340395616,3974165.313396128,2469431.8166694464,37130.0401407578,10.3139000391,23071.1629974614,0.0986370281,0.04411182,0.0612901888,0.0274098057,3163759,False,False,(2003 UO12)
27.676,2018-01-11,0.1989992538,77.4107097282,29769864.500069406,18498136.0303775628,35955.394059893,9.9876094611,22341.283603493,0.0173316527,0.0077509507,0.0107693864,0.004816216,3837717,False,False,(2019 AT6)
24.9,2018-01-11,0.0548071603,21.3199853567,8199034.441628561,5094643.7602577018,25233.4263313667,7.009285092,15679.0698223984,0.0622357573,0.0278326768,0.0386714948,0.0172944182,3797694,False,False,(2018 AN12)
19.2,2018-01-11,0.1038044083,40.3799148287,15528918.378290321,9649222.4398795898,120965.5336063914,33.6015371129,75163.2783678158,0.8590926012,0.3841978911,0.5338152287,0.2387294278,3795030,False,False,(2017 YN3)
25.0,2018-01-11,0.0773016398,30.0703378822,11564160.661587226,7185636.2327306788,30846.4574743926,8.5684604096,19166.7890901302,0.0594346868,0.02658,0.0369309908,0.0165160412,3795097,False,False,(2017 YX5)
27.7,2018-01-11,0.0047112431,1.8326735659,704791.932812197,437937.3996224386,25978.1832658562,7.2161620183,16141.8328187205,0.0171411509,0.0076657557,0.0106510141,0.0047632783,3797460,False,False,(2018 AT2)
